HosingNY,UnemployNY,OilPrice,MountlySupply(One hundred billion Dollar),Gold Price (hundred Dollar),NYPHCI,NYSLIND,S&P Adj Close,Steel&Iron Index
146.74,8.70,107.66,104.383,16.276,144.36,2.36,1514.680054,226
146.80,8.00,102.61,105.845,15.931,144.85,2.33,1569.189941,228.8
147.45,7.40,98.85,106.131,14.879,145.33,2.39,1597.569946,228.1
148.93,7.50,99.35,105.367,14.140,145.84,2.12,1630.73999,223.3
151.04,7.80,99.74,106.018,13.434,146.13,1.49,1606.280029,222.2
152.90,7.80,105.21,106.428,12.855,146.44,1.18,1685.72998,225.3
153.51,7.60,108.06,107.006,13.517,146.99,1.71,1632.969971,225.2
153.15,7.50,108.78,107.705,13.486,147.54,2.34,1681.550049,223.9
152.58,7.40,105.46,108.948,13.166,148.03,2.25,1756.540039,224.9
152.05,7.00,102.58,109.366,12.759,148.78,2.62,1805.810059,228.9
151.61,6.70,105.49,110.636,12.215,149.23,2.22,1848.359985,232.5
151.46,7.40,102.25,110.604,12.443,149.68,1.91,1782.589966,238
151.46,7.50,104.82,111.119,12.996,150.47,2.24,1859.449951,234.9
151.76,7.10,104.04,112.369,13.361,150.99,2.59,1872.339966,231.3
152.84,6.10,104.94,112.902,12.985,151.60,2.12,1883.949951,234.6
154.32,6.20,105.73,112.334,12.887,152.19,2.31,1923.569946,233.5
155.57,6.20,108.37,112.952,12.791,152.79,2.19,1960.22998,232.6
156.20,6.50,105.22,113.502,13.106,153.30,2.12,1930.670044,232.7
156.10,6.20,100.05,113.814,12.951,154.17,2.57,2003.369995,233
155.72,5.80,95.89,114.319,12.366,154.44,1.94,1972.290039,233.9
155.42,5.60,86.13,114.978,12.225,155.06,1.80,2018.050049,230.5
154.77,5.80,76.96,115.737,11.753,155.67,2.13,2067.560059,226.3
154.06,5.50,60.55,117.189,12.006,155.96,1.66,2058.899902,224
153.76,6.40,47.45,117.252,12.508,156.61,1.65,1994.98999,222.4
153.80,6.20,54.93,118.136,12.271,156.89,1.40,2104.5,209.2
154.35,5.70,52.83,119.227,11.786,157.48,1.77,2067.889893,205.2
155.58,5.30,57.42,119.721,11.989,158.02,1.93,2085.51001,200.9
157.44,5.30,62.5,118.769,11.986,158.54,2.12,2107.389893,198.3
159.47,5.20,61.3,119.314,11.815,159.34,2.53,2063.110107,200.3
160.96,5.30,54.43,119.830,11.283,159.80,2.34,2103.840088,198.2
161.44,4.90,45.72,120.405,11.179,160.32,2.05,1972.180054,193
161.06,4.80,46.29,121.103,11.248,160.49,1.38,1920.030029,190.5
160.34,4.70,46.96,121.455,11.593,161.02,1.64,2079.360107,181.5
159.75,4.80,43.13,122.698,10.864,161.33,1.63,2080.409912,175.2
159.18,4.70,36.56,123.998,10.683,161.34,0.91,2043.939941,172.2
158.82,5.30,29.92,124.539,10.979,161.92,1.16,1940.23999,173.1
158.84,5.30,31.05,124.983,11.995,162.45,1.97,1932.22998,172.7
159.25,5.10,37.34,126.650,12.451,162.85,1.65,2059.73999,175.4
160.70,4.60,40.75,127.452,12.423,162.85,0.98,2065.300049,184.3
163.18,4.30,45.98,126.725,12.610,163.78,1.60,2096.949951,192.9
165.66,4.70,47.69,127.573,12.764,164.05,1.91,2098.860107,193.4
167.43,5.00,44.22,128.207,13.367,164.52,1.12,2173.600098,193.6
168.59,4.90,44.84,129.146,13.402,164.69,1.07,2170.949951,195
168.71,4.90,45.06,129.899,13.266,164.68,0.63,2168.27002,191.2
167.84,4.80,49.29,130.585,12.663,164.56,0.08,2126.149902,186.4
167.39,4.50,45.28,131.669,12.384,165.17,1.17,2198.810059,189.6
166.80,4.50,52.61,132.772,11.574,165.91,2.26,2238.830078,196
,,,,,,,,
